TimeStamp,ch4,ch6,ch7
6331.1272,-58942.66,-62799.41,-68332.44
6331.1312,-66064.37,-68761.02,-74393.28
6331.1352,-64152.2,-67334.04,-72636.37
6331.1392,-57060.58,-61499.51,-66590.65
6331.1432,-54351.19,-59118.71,-64348.61
6331.1472,-58931.41,-62788.3,-68309.08
6331.1512,-66099.22,-68794.88,-74418.12
6331.1552,-64214.19,-67386.06,-72688.4
6331.1592,-57088.38,-61528.17,-66619.69
6331.1632,-54323.68,-59113.13,-64314.71
6331.1672,-58864.7,-62742.15,-68240.6
6331.1712,-66090.93,-68768.99,-74408.97
6331.1752,-64268.26,-67418.06,-72733.98
6331.1792,-57083.71,-61529.26,-66609.34
6331.1832,-54271.04,-59072.36,-64281.28
6331.1872,-58814.58,-62698.32,-68204.46
6331.1912,-66088.45,-68773.18,-74400.43
6331.1952,-64281.52,-67434.99,-72730.79
6331.1992,-57059.01,-61508.62,-66574.3
6331.2032,-54205.33,-59002.45,-64210.33
6331.2072,-58749.02,-62617.88,-68140.47
6331.2112,-66069.66,-68731.03,-74374.35
6331.2152,-64298.26,-67433.08,-72747.29
6331.2192,-57034.45,-61467.18,-66557.56
6331.2231,-54142.39,-58929.78,-64157.83
6331.2271,-58659.89,-62526.57,-68065.32
6331.2311,-66032.47,-68691.79,-74345.45
6331.2351,-64295.01,-67420.92,-72736.22
6331.2391,-57001.17,-61429.6,-66516.98
6331.2431,-54059.51,-58851.44,-64068.28
6331.2471,-58568.68,-62439.83,-67960.6
6331.2511,-66006.43,-68645.63,-74299.87
6331.2551,-64330.16,-67429.69,-72758.16
6331.2591,-56963.83,-61393.13,-66478.55
6331.2631,-53973.63,-58775.72,-63991.65
6331.2671,-58454.76,-62324.05,-67867.95
6331.2711,-65967.04,-68590.84,-74267.73
6331.2751,-64355.24,-67424.5,-72768.89
6331.2791,-56941.23,-61360.65,-66446.03
6331.2831,-53876.5,-58681.21,-63899.57
6331.2871,-58358.49,-62241.42,-67776.88
6331.2911,-65932.62,-68566.14,-74228.58
6331.2951,-64351.71,-67432.65,-72773.66
6331.2991,-56880.43,-61311.54,-66418.61
6331.3031,-53773.98,-58600.72,-63841.59
6331.3071,-58240.95,-62143.86,-67692.1
6331.3111,-65879.16,-68515.26,-74184.28
6331.3151,-64341.65,-67427.45,-72756.49
6331.3191,-56844.05,-61295.14,-66377.84
6331.3231,-53700.88,-58555.61,-63764.82
6331.3271,-58166.99,-62086.4,-67620.57
6331.3311,-65865.43,-68494.9,-74174.32
6331.3351,-64384.28,-67453.01,-72793.4
6331.3391,-56848.72,-61288.65,-66377.36
6331.3431,-53666.17,-58516.27,-63736.97
6331.3471,-58115.25,-62023.6,-67577.99
6331.351,-65863.66,-68474.83,-74174.46
6331.355,-64430.05,-67475.8,-72837.89
6331.359,-56865.79,-61283.26,-66394.72
6331.363,-53640.9,-58467.01,-63708.74
6331.367,-58063.61,-61960.99,-67526.4
6331.371,-65865.62,-68454.23,-74164.02
6331.375,-64497.91,-67517.15,-72886.05
6331.379,-56896.17,-61307.77,-66424.09
6331.383,-53615.15,-58456.28,-63703.4
6331.387,-58022.65,-61930.66,-67509.37
6331.391,-65868.77,-68465.57,-74188.67
6331.395,-64537.82,-67567.88,-72932.11
6331.399,-56932.79,-61354.36,-66464.05
6331.403,-53632.55,-58467.97,-63721.04
6331.407,-58018.02,-61910.49,-67502.32
6331.411,-65887.13,-68451.51,-74195.01
6331.415,-64622.84,-67603.5,-73003.97
6331.419,-56981.33,-61367.76,-66499.24
6331.423,-53617.34,-58443.6,-63697.77
6331.427,-57934.1,-61843.5,-67423.73
6331.431,-65840.92,-68422.66,-74156.58
6331.435,-64628.13,-67616.42,-73014.12
6331.439,-56963.21,-61362.04,-66499.38
6331.443,-53548.68,-58396.68,-63663.35
6331.447,-57849.32,-61776.41,-67369.76
6331.451,-65784.41,-68368.25,-74123.2
6331.455,-64646.44,-67626.39,-73047.31
6331.459,-56950.48,-61351.55,-66510.78
6331.463,-53494.56,-58345.8,-63641.75
6331.467,-57752.23,-61688.48,-67309.91
6331.471,-65738.16,-68324.19,-74102.65
6331.475,-64659.46,-67635.4,-73072.2
6331.4789,-56954.92,-61355.84,-66526.04
6331.4829,-53449.49,-58317.29,-63604.93
6331.4869,-57689.67,-61640.84,-67247.26
6331.4909,-65716.47,-68301.11,-74075.66
6331.4949,-64694.89,-67659.05,-73098.72
6331.4989,-56954.2,-61346.11,-66529.66
6331.5029,-53403.96,-58270.22,-63580.71
6331.5069,-57605.13,-61561.83,-67195.14
6331.5109,-65681.27,-68266.83,-74056.01
